Date,INFY.NS,RELIANCE.NS,TCS.NS,^NSEI
2026-03-04,1279.7078857421875,1338.8099365234375,2539.2587890625,24480.5
2026-03-05,1278.141845703125,1383.005615234375,2530.427490234375,24765.900390625
2026-03-06,1280.686767578125,1398.334716796875,2509.625244140625,24450.44921875
2026-03-09,1287.14697265625,1417.4462890625,2479.99169921875,24028.05078125
2026-03-10,1268.1578369140625,1402.3162841796875,2465.9599609375,24261.599609375
2026-03-11,1249.2667236328125,1383.8017578125,2418.6640625,23866.849609375
2026-03-12,1238.9891357421875,1385.7926025390625,2396.5859375,23639.150390625
2026-03-13,1221.8597412109375,1374.3455810546875,2365.284423828125,23151.099609375
2026-03-16,1223.3280029296875,1388.6793212890625,2364.0087890625,23408.80078125
2026-03-17,1206.785888671875,1391.167724609375,2346.837158203125,23581.150390625
2026-03-18,1240.261474609375,1401.6195068359375,2395.01611328125,23777.80078125
2026-03-19,1194.9422607421875,1378.4267578125,2311.806640625,23002.150390625
2026-03-20,1229.2987060546875,1407.8905029296875,2345.7578125,23114.5
2026-03-23,1230.1796875,1401.3209228515625,2339.085205078125,22512.650390625
2026-03-24,1251.224365234375,1405.302490234375,2353.803955078125,22912.400390625
2026-03-25,1252.00732421875,1406.596435546875,2332.80517578125,23306.44921875
2026-03-27,1242.806396484375,1341.8956298828125,2344.97265625,22819.599609375
2026-03-30,1224.1109619140625,1337.7149658203125,2314.652099609375,22331.400390625
2026-04-01,1248.6793212890625,1362.8984375,2363.02734375,22679.400390625
2026-04-02,1273.247802734375,1344.2845458984375,2404.730224609375,22713.099609375
2026-04-06,1278.5333251953125,1298.6953125,2427.4951171875,22968.25
2026-04-07,1311.0301513671875,1298.5958251953125,2492.1591796875,23123.650390625
2026-04-08,1317.68603515625,1341.5970458984375,2511.195068359375,23997.349609375
2026-04-09,1303.395263671875,1323.87890625,2540.436279296875,23775.099609375
2026-04-10,1265.12353515625,1343.9859619140625,2476.94970703125,24050.599609375
2026-04-13,1249.756103515625,1309.0474853515625,2426.2197265625,23842.650390625
2026-04-15,1277.6524658203125,1337.9140625,2506.975830078125,24231.30078125
2026-04-16,1291.2579345703125,1337.1177978515625,2528.56298828125,24196.75
2026-04-17,1290.7685546875,1358.7178955078125,2533.07666015625,24353.55078125
2026-04-20,1284.7977294921875,1357.0257568359375,2531.212646484375,24364.849609375
2026-04-21,1285.385009765625,1347.07177734375,2561.532958984375,24576.599609375
2026-04-22,1241.729736328125,1355.8311767578125,2490.883544921875,24378.099609375
2026-04-23,1214.32275390625,1337.21728515625,2474.496826171875,24173.05078125
2026-04-24,1130.144287109375,1321.6890869140625,2351.939453125,23897.94921875
2026-04-27,1145.5118408203125,1359.51416015625,2401.6884765625,24092.69921875
2026-04-28,1127.697265625,1382.5078125,2398.8427734375,23995.69921875
2026-04-29,1142.7711181640625,1418.83984375,2428.280029296875,24177.650390625
2026-04-30,1156.768310546875,1424.215087890625,2427.4951171875,23997.55078125
2026-05-01,1156.768310546875,1424.215087890625,2427.4951171875,
2026-05-04,1143.652099609375,1456.3663330078125,2385.6943359375,24119.30078125
2026-05-05,1153.1466064453125,1456.864013671875,2381.76953125,24032.80078125
2026-05-06,1142.4774169921875,1431.2823486328125,2389.71728515625,24330.94921875
2026-05-07,1138.07275390625,1429.590087890625,2356.35498046875,24326.650390625
2026-05-08,1154.2232666015625,1428.5947265625,2349.486083984375,24176.150390625
2026-05-11,1152.0699462890625,1381.81103515625,2348.014404296875,23815.849609375
2026-05-12,1116.1473388671875,1357.722412109375,2257.151611328125,23379.55078125
2026-05-13,1099.3115234375,1352.54638671875,2230.167236328125,23412.599609375
2026-05-14,1071.8067626953125,1355.5325927734375,2203.8701171875,23689.599609375
2026-05-15,1095.2984619140625,1330.24951171875,2221.532470703125,23643.5
2026-05-18,1118.3006591796875,1329.7518310546875,2240.3720703125,23649.94921875
2026-05-19,1171.5484619140625,1316.6124267578125,2283.448974609375,23618.0
2026-05-20,1168.4161376953125,1353.442138671875,2283.7431640625,23659.0
2026-05-21,1156.180908203125,1343.388671875,2283.546875,23654.69921875
2026-05-22,1149.622802734375,1348.26611328125,2273.83251953125,23719.30078125
2026-05-25,1143.75,1360.7086181640625,2295.61328125,24031.69921875
2026-05-26,1142.966796875,1350.0579833984375,2263.78759765625,23913.69921875
2026-05-27,1135.3321533203125,1344.2845458984375,2271.744140625,23907.150390625
2026-05-28,1135.3321533203125,1344.2845458984375,2271.744140625,
2026-05-29,1136.3109130859375,1315.119384765625,2246.58203125,23547.75
2026-06-01,1177.02978515625,1313.9249267578125,2284.8720703125,23382.599609375
2026-06-02,1243.8831787109375,1308.5498046875,2433.556884765625,23483.55078125
2026-06-03,1196.7039794921875,1307.15625,2229.475830078125,23405.599609375
2026-06-04,1175.855224609375,1297.699951171875,2228.77978515625,23416.55078125
2026-06-05,1172.1357421875,1291.0,2186.9091796875,23366.69921875
2026-06-08,1162.4453125,1263.300048828125,2139.668212890625,23123.0
2026-06-09,1155.300048828125,1269.199951171875,2139.2705078125,23242.099609375
2026-06-10,1145.300048828125,1258.800048828125,2142.154541015625,23214.94921875
2026-06-11,1114.5999755859375,1263.0,2123.95458984375,23161.599609375
2026-06-12,1116.4000244140625,1293.0,2149.61376953125,23622.900390625
2026-06-15,1134.9000244140625,1307.0,2150.21044921875,23853.900390625
2026-06-16,1143.5999755859375,1328.800048828125,2187.0087890625,23989.150390625
2026-06-17,1157.699951171875,1332.699951171875,2210.8779296875,24085.69921875
2026-06-18,1127.5,1328.0999755859375,2191.285400390625,24168.0
2026-06-19,1051.4000244140625,1309.5,2113.412353515625,24013.099609375
2026-06-22,1065.4000244140625,1326.5,2116.197021484375,24102.900390625
2026-06-23,1029.300048828125,1309.5,2048.368896484375,23824.099609375
2026-06-24,1056.5999755859375,1313.5999755859375,2097.49951171875,24021.650390625
2026-06-25,1041.199951171875,1318.0999755859375,2083.27734375,24056.0
2026-06-26,1041.199951171875,1318.0999755859375,2083.27734375,
2026-06-29,1036.699951171875,1301.0,2086.4599609375,23946.25
2026-06-30,1000.4000244140625,1293.9000244140625,2020.422119140625,23865.75
2026-07-01,985.2999877929688,1308.0,1971.788818359375,24005.849609375
2026-07-02,1040.9000244140625,1303.5,2056.82275390625,24175.69921875
2026-07-03,1047.199951171875,1304.0,2082.083984375,24270.849609375
2026-07-06,1042.199951171875,1321.300048828125,2046.3798828125,24430.349609375
